schema_version,run_id,created_at_utc,prediction_date,as_of_date,data_snapshot_hash,config_hash,target_mode,band,imputed_features,macro_snapshot_hash,macro_history_mode,prediction,p_down,p_flat,p_up,model,record_id,kind,horizon_days,target_date,horizon,trading_days,current_close,signal,predicted_return,predicted_close,center_close,low_close,high_close,band_coverage,model_mae,zero_baseline_mae,mae_diff_lo,mae_diff_hi,oof_slope,actual_open,actual_close,actual_return,actual_class,direction_correct,price_error,absolute_price_error,price_ape,return_error,interval_hit,center_price_error,log_loss,brier,status,is_prospective,actual_updated_at_utc
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2357290208860737,0.3349739062708823,0.429297072843044,Logistic,20260906T040631_d5e65bc7b39b:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2123786105376597,0.3286184681283905,0.4590029213339496,LightGBM,20260906T040631_d5e65bc7b39b:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2240538157118667,0.3317961871996365,0.4441499970884968,Mean ensemble,20260906T040631_d5e65bc7b39b:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2300756376251257,0.336851327773534,0.4330730346013403,No macro ensemble,20260906T040631_d5e65bc7b39b:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T040631_d5e65bc7b39b:price:1,price,1,2026-09-07,1거래일,1.0,255500.0,있음,0.0154078691728687,259436.71057366795,259436.71057366795,245095.36409112831,273778.0570562076,0.8222996515679443,0.021353838193658,0.0231800104703863,-0.0030766054324891,-0.0007376965615327,1.0,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T040631_d5e65bc7b39b:price:5,price,5,2026-09-11,1주일,5.0,255500.0,없음,,,255500.0,219369.7353989944,291630.2646010056,0.8307155322862129,0.0524518023542634,0.0511404946174254,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T040631_d5e65bc7b39b,2026-09-06 04:06:39.109283+00:00,2026-09-07,2026-09-04,2e09fde39107d8c4e6d1,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T040631_d5e65bc7b39b:price:20,price,20,2026-10-07,1개월,20.0,255500.0,없음,,,255500.0,182948.7356050388,328051.26439496124,0.7873462214411248,0.1191711911466997,0.1166765752395607,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T041533_a169c390b4e2,2026-09-06 04:15:44.488886+00:00,2026-09-07,2026-09-04,9c368dc006056d4a5aa3,2c241a78cab914136594,close_to_close,0.013260642325882,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,보합,0.1239497196085792,0.5942920953885898,0.2817581850028308,Transformer,20260906T041533_a169c390b4e2:direction:Transformer,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T052936_5ad28b6dd903,2026-09-06 05:29:43.634724+00:00,2026-09-07,2026-09-04,d6a46305a7dc5f3b9172,2df6c98b48a745b2967f,close_to_close,0.013260642325882052,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T052936_5ad28b6dd903:price:5,price,5,2026-09-11,1주일,5.0,255500.0,없음,,,255500.0,219369.38974783279,291630.6102521672,0.8307155322862129,0.05245183461089302,0.051140494617425446,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
2,20260906T052936_5ad28b6dd903,2026-09-06 05:29:43.634724+00:00,2026-09-07,2026-09-04,d6a46305a7dc5f3b9172,2df6c98b48a745b2967f,close_to_close,0.013260642325882052,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.23572896195472723,0.3349740254542,0.4292970125910728,Logistic,20260906T052936_5ad28b6dd903:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,True,2026-09-06T05:29:43.644045+00:00
